CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326751;158;01-jul-09;23:03:19;34.3221;7.8837;2.29301;2.29301;7.8837;34.3221
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326752;99;01-jul-09;23:03:19;32.9664;3.8736;3.37416;3.37416;3.8736;32.9664
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326753;77;01-jul-09;23:03:19;32.6349;2.9151;3.68429;3.68429;2.9151;32.6349
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326754;50;01-jul-09;23:03:19;32.3603;4.3014;4.18727;4.18727;4.3014;32.3603
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326755;40;01-jul-09;23:03:19;32.0594;4.3805;4.24503;4.24503;4.3805;32.0594
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326756;31;01-jul-09;23:03:19;31.7807;7.3274;4.21372;4.21372;7.3274;31.7807
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326757;22;01-jul-09;23:03:19;31.7062;12.149;3.74863;3.74863;12.149;31.7062
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326758;12;01-jul-09;23:03:19;31.6275;14.2734;3.51144;3.51144;14.2734;31.6275
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326759;8;01-jul-09;23:03:19;31.6276;14.271;3.50712;3.50712;14.271;31.6276
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326760;3;01-jul-09;23:03:19;31.6273;14.2722;3.52653;3.52653;14.2722;31.6273
NED2009027_10;MFD_SETNO10;43.5811;-62.7328;326789;108;03-jul-09;05:46:44;34.679;9.2847;2.42109;2.42109;9.2847;34.679
NED2009027_10;MFD_SETNO10;43.5811;-62.7328;326790;50;03-jul-09;05:46:44;32.8058;3.9092;3.69268;3.69268;3.9092;32.8058
NED2009027_10;MFD_SETNO10;43.5811;-62.7328;326791;26;03-jul-09;05:46:44;32.1304;5.1054;4.4129;4.4129;5.1054;32.1304
NED2009027_10;MFD_SETNO10;43.5811;-62.7328;326792;5;03-jul-09;05:46:44;31.275;15.554;3.47527;3.47527;15.554;31.275
NED2009027_100;MFD_SETNO100;44.1048;-61.2396;330871;83;15-jul-09;19:08:13;33.3076;5.6245;3.27023;3.27023;5.6245;33.3076
NED2009027_100;MFD_SETNO100;44.1048;-61.2396;330872;50;15-jul-09;19:08:13;32.6276;4.7796;3.72324;3.72324;4.7796;32.6276
NED2009027_100;MFD_SETNO100;44.1048;-61.2396;330873;24;15-jul-09;19:08:13;32.102;8.7949;4.0518;4.0518;8.7949;32.102
NED2009027_100;MFD_SETNO100;44.1048;-61.2396;330874;5;15-jul-09;19:08:13;31.833;16.2911;3.30192;3.30192;16.2911;31.833
NED2009027_101;MFD_SETNO101;44.2103;-61.0123;330875;59;15-jul-09;21:11:20;32.6759;4.3849;3.58328;3.58328;4.3849;32.6759
NED2009027_101;MFD_SETNO101;44.2103;-61.0123;330876;51;15-jul-09;21:11:20;32.501;4.4386;3.66501;3.66501;4.4386;32.501
NED2009027_101;MFD_SETNO101;44.2103;-61.0123;330877;26;15-jul-09;21:11:20;31.9037;7.3021;4.11322;4.11322;7.3021;31.9037
NED2009027_101;MFD_SETNO101;44.2103;-61.0123;330878;5;15-jul-09;21:11:20;32.0215;16.6383;3.30658;3.30658;16.6383;32.0215
NED2009027_102;MFD_SETNO102;44.1192;-60.9833;330879;51;15-jul-09;22:34:06;32.455;4.7232;3.70315;3.70315;4.7232;32.455
NED2009027_102;MFD_SETNO102;44.1192;-60.9833;330880;25;15-jul-09;22:34:06;31.9914;8.2415;3.93183;3.93183;8.2415;31.9914
NED2009027_102;MFD_SETNO102;44.1192;-60.9833;330881;5;15-jul-09;22:34:06;31.9127;16.4161;3.30887;3.30887;16.4161;31.9127
NED2009027_103;MFD_SETNO103;44.0112;-60.7773;330882;29;16-jul-09;00:26:30;31.7402;10.0583;3.92521;3.92521;10.0583;31.7402
NED2009027_103;MFD_SETNO103;44.0112;-60.7773;330883;25;16-jul-09;00:26:30;31.7415;10.1602;3.88956;3.88956;10.1602;31.7415
NED2009027_103;MFD_SETNO103;44.0112;-60.7773;330884;5;16-jul-09;00:26:30;31.6029;15.5048;3.39778;3.39778;15.5048;31.6029
